"date","tod","Feed","Forage","NestMove","NestNotMove","NotMoving","Travel","id","Total"
2016-03-14,"dawn",0,0,113,2415,0,0,19553,2528
2016-03-14,"day",12460,432,4293,18741,1215,4995,19553,42136
2016-03-14,"dusk",0,0,74,2456,0,0,19553,2530
2016-03-14,"night",0,0,3332,35874,0,0,19553,39206
2016-03-15,"dawn",0,0,1068,1461,0,0,19553,2529
2016-03-15,"day",10374,361,8628,15716,3441,3953,19553,42473
2016-03-15,"dusk",0,0,84,2446,0,0,19553,2530
2016-03-15,"night",0,0,1969,36899,0,0,19553,38868
2016-03-16,"dawn",0,0,233,2298,0,0,19553,2531
2016-03-16,"day",5161,583,17807,14247,993,4018,19553,42809
2016-03-16,"dusk",0,0,55,2477,0,0,19553,2532
2016-03-16,"night",0,0,2268,36260,0,0,19553,38528
2016-03-17,"dawn",182,30,1393,677,0,251,19553,2533
2016-03-17,"day",4770,548,16992,17299,282,3255,19553,43146
2016-03-17,"dusk",0,0,21,2514,0,0,19553,2535
2016-03-17,"night",0,0,1764,36422,0,0,19553,38186
2016-03-18,"dawn",0,0,198,2338,0,0,19553,2536
2016-03-18,"day",6433,443,18197,14800,10,3599,19553,43482
2016-03-18,"dusk",0,0,86,2451,0,0,19553,2537
2016-03-18,"night",0,0,1866,35979,0,0,19553,37845
2016-03-19,"dawn",655,11,1283,486,16,88,19553,2539
2016-03-19,"day",3867,140,11343,26941,106,1422,19553,43819
2016-03-19,"dusk",0,0,133,2407,0,0,19553,2540
2016-03-19,"night",2737,173,5144,26187,57,3204,19553,37502
2016-03-20,"dawn",213,0,1487,774,22,47,19553,2543
2016-03-20,"day",4454,326,9650,25530,398,3797,19553,44155
2016-03-20,"dusk",0,0,46,2499,0,0,19553,2545
2016-03-20,"night",4045,131,9054,21847,45,2035,19553,37157
2016-03-21,"dawn",533,5,1915,10,0,84,19553,2547
2016-03-21,"day",5780,140,7902,28035,739,1896,19553,44492
2016-03-21,"dusk",0,0,110,2437,0,1,19553,2548
2016-03-21,"night",9484,464,6278,7885,6460,6242,19553,36813
2016-04-21,"dawn",0,0,0,2997,0,0,11962,2997
2016-04-21,"day",3849,5,6119,42801,1374,715,11962,54863
2016-04-21,"dusk",0,0,46,2953,0,0,11962,2999
2016-04-21,"night",0,0,2,25539,0,0,11962,25541
2016-03-26,"dawn",0,0,145,2432,0,0,20488,2577
2016-03-26,"day",86,37,3251,42469,0,330,20488,46173
2016-03-26,"dusk",508,33,599,1193,1,244,20488,2578
2016-03-26,"night",5225,356,5434,18350,1409,4298,20488,35072
2016-03-27,"dawn",0,0,80,2505,0,0,20488,2585
2016-03-27,"day",0,0,2922,43587,0,0,20488,46509
2016-03-27,"dusk",0,0,493,2093,0,0,20488,2586
2016-03-27,"night",10497,797,3351,8361,3135,8579,20488,34720
2016-03-28,"dawn",0,0,355,2238,0,0,20488,2593
2016-03-28,"day",2017,203,4445,37665,455,2060,20488,46845
2016-03-28,"dusk",43,11,734,1440,108,259,20488,2595
2016-03-28,"night",7407,328,2173,14999,4592,4868,20488,34367
2016-03-29,"dawn",1696,72,88,0,18,727,20488,2601
2016-03-29,"day",2085,125,5183,37787,242,1759,20488,47181
2016-03-29,"dusk",300,10,115,1758,105,316,20488,2604
2016-03-29,"night",5580,488,3713,17316,2220,4697,20488,34014
2016-03-30,"dawn",1028,26,0,0,954,603,20488,2611
2016-03-30,"day",1747,234,4097,38450,140,2848,20488,47516
2016-03-30,"dusk",712,93,0,0,171,1637,20488,2613
2016-03-30,"night",6387,618,5050,13499,3026,5080,20488,33660
2016-10-02,"dawn",240,164,446,1235,0,443,21023,2528
2016-10-02,"day",10537,2545,1585,10435,3235,12359,21023,40696
2016-10-02,"dusk",0,0,18,2511,0,0,21023,2529
2016-10-02,"night",0,0,1766,38881,0,0,21023,40647
2016-10-03,"dawn",0,0,522,2007,0,0,21023,2529
2016-10-03,"day",11024,2538,3443,9355,2141,11864,21023,40365
2016-10-03,"dusk",0,0,167,2364,0,0,21023,2531
2016-10-03,"night",24,0,1737,38832,250,132,21023,40975
2016-10-04,"dawn",0,0,165,2366,0,0,21023,2531
2016-10-04,"day",9441,2385,2502,11856,3455,10394,21023,40033
2016-10-04,"dusk",0,0,144,2389,0,0,21023,2533
2016-10-04,"night",906,41,2447,36539,1132,238,21023,41303
2016-10-05,"dawn",0,0,479,2054,0,0,21023,2533
2016-10-05,"day",10904,2315,1923,9349,5077,10134,21023,39702
2016-10-05,"dusk",0,0,91,2444,0,0,21023,2535
2016-10-05,"night",260,20,2655,37697,869,129,21023,41630
2016-10-06,"dawn",10,0,153,2223,127,23,21023,2536
2016-10-06,"day",12309,1711,5007,8038,2898,9407,21023,39370
2016-10-06,"dusk",0,0,106,2432,0,0,21023,2538
2016-10-06,"night",416,18,2266,38671,512,73,21023,41956
2016-10-07,"dawn",0,0,287,2253,0,0,21023,2540
2016-10-07,"day",9988,1858,5547,4718,7081,9847,21023,39039
2016-10-07,"dusk",0,0,80,2461,0,0,21023,2541
2016-10-07,"night",843,11,1850,39281,159,136,21023,42280
2016-10-08,"dawn",0,0,472,2071,0,0,21023,2543
2016-10-08,"day",7839,1194,5847,12620,3502,7706,21023,38708
2016-10-08,"dusk",0,0,100,2445,0,0,21023,2545
2016-10-08,"night",977,18,2143,33530,5704,232,21023,42604
2016-10-09,"dawn",0,0,42,2505,0,0,21023,2547
2016-10-09,"day",7861,1306,7112,9771,6412,5915,21023,38377
2016-10-09,"dusk",0,0,577,1972,0,0,21023,2549
2016-10-09,"night",770,75,3230,37478,1152,222,21023,42927
2016-10-10,"dawn",0,0,188,2364,0,0,21023,2552
2016-10-10,"day",7951,2163,5166,9506,2884,10375,21023,38045
2016-10-10,"dusk",1156,421,35,12,19,911,21023,2554
2016-10-10,"night",701,50,3768,35419,2948,363,21023,43249
2016-10-02,"dawn",639,398,394,207,4,886,20729,2528
2016-10-02,"day",13111,4242,652,1083,5681,15927,20729,40696
2016-10-02,"dusk",173,10,109,1330,529,378,20729,2529
2016-10-02,"night",1610,174,3408,23490,10742,1223,20729,40647
2016-10-03,"dawn",303,259,662,484,154,667,20729,2529
2016-10-03,"day",13210,5181,0,0,3438,18536,20729,40365
2016-10-03,"dusk",65,15,55,828,1555,13,20729,2531
2016-10-03,"night",1399,131,2704,28218,7907,616,20729,40975
2016-10-04,"dawn",198,279,914,212,0,928,20729,2531
2016-10-04,"day",11986,4464,996,2575,3181,16831,20729,40033
2016-10-04,"dusk",690,72,18,805,304,644,20729,2533
2016-10-04,"night",1266,205,4755,30037,3759,1281,20729,41303
2016-10-05,"dawn",3,94,817,1459,0,160,20729,2533
2016-10-05,"day",11685,4896,1435,3588,2209,15889,20729,39702
2016-10-05,"dusk",449,90,209,1146,12,629,20729,2535
2016-10-05,"night",1107,130,3442,30566,5768,617,20729,41630
2016-10-06,"dawn",164,165,867,653,0,687,20729,2536
2016-10-06,"day",11363,4051,1829,2274,1798,18055,20729,39370
2016-10-06,"dusk",266,60,97,1191,599,325,20729,2538
2016-10-06,"night",939,122,4675,32603,2841,776,20729,41956
2016-10-07,"dawn",164,62,900,923,296,195,20729,2540
2016-10-07,"day",10305,4090,2869,5067,1988,14720,20729,39039
2016-10-07,"dusk",414,18,59,1566,200,284,20729,2541
2016-10-07,"night",1463,81,3684,34532,1890,630,20729,42280
2016-10-08,"dawn",0,0,433,2110,0,0,20729,2543
2016-10-08,"day",12388,2636,2321,4980,2641,13742,20729,38708
2016-10-08,"dusk",414,26,0,1,1672,432,20729,2545
2016-10-08,"night",1931,195,2847,29516,7252,863,20729,42604
2016-10-09,"dawn",0,0,254,2293,0,0,20729,2547
2016-10-09,"day",11357,3231,8195,3395,1161,11038,20729,38377
2016-10-09,"dusk",0,0,206,2343,0,0,20729,2549
2016-10-09,"night",1028,106,3567,36643,1155,428,20729,42927
2016-10-10,"dawn",809,227,305,6,294,911,20729,2552
2016-10-10,"day",12321,3516,1201,2643,4267,14097,20729,38045
2016-10-10,"dusk",33,0,206,2009,306,0,20729,2554
2016-10-10,"night",1653,220,4084,32805,3448,1039,20729,43249
2016-10-02,"dawn",1,59,881,1443,0,144,21350,2528
2016-10-02,"day",11848,2311,1887,7030,2027,15593,21350,40696
2016-10-02,"dusk",0,0,61,2468,0,0,21350,2529
2016-10-02,"night",666,5,2521,37198,83,174,21350,40647
2016-10-03,"dawn",367,142,696,914,0,410,21350,2529
2016-10-03,"day",12202,2688,2559,7996,1930,12990,21350,40365
2016-10-03,"dusk",0,0,135,2396,0,0,21350,2531
2016-10-03,"night",0,0,2572,38403,0,0,21350,40975
2016-10-04,"dawn",0,25,950,1505,0,51,21350,2531
2016-10-04,"day",12005,3596,1978,5603,1438,15413,21350,40033
2016-10-04,"dusk",0,0,74,2459,0,0,21350,2533
2016-10-04,"night",465,0,3270,36600,722,246,21350,41303
2016-10-05,"dawn",314,86,1046,778,0,309,21350,2533
2016-10-05,"day",12452,2304,3348,6679,2432,12487,21350,39702
2016-10-05,"dusk",29,0,195,2160,138,13,21350,2535
2016-10-05,"night",529,45,3386,37513,11,146,21350,41630
2016-10-06,"dawn",0,0,267,2269,0,0,21350,2536
2016-10-06,"day",11194,1390,4095,8533,5010,9148,21350,39370
2016-10-06,"dusk",20,0,78,2381,59,0,21350,2538
2016-10-06,"night",479,20,2271,38747,307,132,21350,41956
2016-10-07,"dawn",455,162,612,144,568,599,21350,2540
2016-10-07,"day",12244,2048,4529,6015,2767,11436,21350,39039
2016-10-07,"dusk",634,37,558,1089,35,188,21350,2541
2016-10-07,"night",14,0,3596,38489,176,5,21350,42280
2016-10-08,"dawn",47,76,960,1180,0,280,21350,2543
2016-10-08,"day",10806,2166,5728,4090,4958,10960,21350,38708
2016-10-08,"dusk",0,0,61,2484,0,0,21350,2545
2016-10-08,"night",540,12,2953,38428,561,110,21350,42604
2016-10-09,"dawn",0,0,426,2121,0,0,21350,2547
2016-10-09,"day",11150,2471,5714,4875,908,13259,21350,38377
2016-10-09,"dusk",0,0,114,2045,390,0,21350,2549
2016-10-09,"night",716,19,3203,38785,6,198,21350,42927
2016-10-10,"dawn",0,0,843,1709,0,0,21350,2552
2016-10-10,"day",10398,1276,6439,6947,4191,8794,21350,38045
2016-10-10,"dusk",398,35,476,1497,1,147,21350,2554
2016-10-10,"night",201,20,2736,39801,388,103,21350,43249
