"Squirrel","date","tod","Feed","Forage","NestMove","NestNotMove","notmoving","Travel","total","Deploy","out","act","Grid","Treatment","Sex","Squirrel_ID"
"B10",2015-04-24,"dawn",165,690,665,1465,0,75,3060,"April 2015 Week 1",0.303921568627451,0.303921568627451,"KL","control","M",12678
"B10",2015-04-24,"day",15881,27145,2258,7172,286,2866,55608,"April 2015 Week 1",0.830420083441232,0.82527693856999,"KL","control","M",12678
"B10",2015-04-24,"dusk",124,96,448,2370,22,0,3060,"April 2015 Week 1",0.0790849673202614,0.0718954248366013,"KL","control","M",12678
"B10",2015-04-24,"night",71,112,2052,22070,347,20,24672,"April 2015 Week 1",0.0222924773022049,0.00822795071335927,"KL","control","M",12678
"B10",2015-04-25,"dawn",22,784,650,1564,0,70,3090,"April 2015 Week 1",0.283495145631068,0.283495145631068,"KL","control","M",12678
"B10",2015-04-25,"day",14641,27467,1964,7988,713,3163,55936,"April 2015 Week 1",0.8220823798627,0.809335669336384,"KL","control","M",12678
"B10",2015-04-25,"dusk",342,897,221,1079,392,159,3090,"April 2015 Week 1",0.579288025889968,0.452427184466019,"KL","control","M",12678
"B10",2015-04-25,"night",33,36,1841,22223,136,15,24284,"April 2015 Week 1",0.00905946302091912,0.00345906769889639,"KL","control","M",12678
"B10",2015-04-26,"dawn",165,543,713,1575,77,48,3121,"April 2015 Week 1",0.266901634091637,0.242230054469721,"KL","control","M",12678
"B10",2015-04-26,"day",16104,26841,2733,7114,575,2897,56264,"April 2015 Week 1",0.82498578131665,0.814766102658894,"KL","control","M",12678
"B10",2015-04-26,"dusk",0,0,358,2763,0,0,3121,"April 2015 Week 1",0,0,"KL","control","M",12678
"B10",2015-04-26,"night",55,59,1542,22042,191,5,23894,"April 2015 Week 1",0.0129739683602578,0.00498032978990542,"KL","control","M",12678
"B10",2015-04-27,"dawn",121,566,757,1575,82,52,3153,"April 2015 Week 1",0.260386933079607,0.234379955597843,"KL","control","M",12678
"B10",2015-04-27,"day",16758,26055,2404,6266,2034,3073,56590,"April 2015 Week 1",0.84679271956176,0.81084997349355,"KL","control","M",12678
"B10",2015-04-27,"dusk",81,866,886,944,251,125,3153,"April 2015 Week 1",0.419600380589914,0.339993656834761,"KL","control","M",12678
"B10",2015-04-27,"night",61,41,1864,21074,450,14,23504,"April 2015 Week 1",0.0240810074880871,0.00493533015656909,"KL","control","M",12678
"B10",2015-04-28,"dawn",0,0,154,3033,0,0,3187,"April 2015 Week 1",0,0,"KL","control","M",12678
"B10",2015-04-28,"day",16494,25334,1997,8003,1782,3306,56916,"April 2015 Week 1",0.82430248084897,0.792993182936257,"KL","control","M",12678
"B10",2015-04-28,"dusk",510,1143,22,800,479,232,3186,"April 2015 Week 1",0.741996233521657,0.591650973006905,"KL","control","M",12678
"B10",2015-04-28,"night",22,94,2135,20676,169,15,23111,"April 2015 Week 1",0.0129808316386136,0.00566829648219463,"KL","control","M",12678
"B10",2015-04-29,"dawn",99,571,683,1818,0,50,3221,"April 2015 Week 1",0.223533064265756,0.223533064265756,"KL","control","M",12678
"B10",2015-04-29,"day",15371,29163,1903,6167,1051,3585,57240,"April 2015 Week 1",0.859014675052411,0.840653389238295,"KL","control","M",12678
"B10",2015-04-29,"dusk",80,22,338,2533,248,0,3221,"April 2015 Week 1",0.108661906240298,0.0316671841043154,"KL","control","M",12678
"B10",2015-04-29,"night",123,41,2190,20208,156,0,22718,"April 2015 Week 1",0.0140857469847698,0.00721894532969452,"KL","control","M",12678
"B10",2015-04-30,"dawn",96,295,630,2226,0,10,3257,"April 2015 Week 1",0.123119435062941,0.123119435062941,"KL","control","M",12678
"B10",2015-04-30,"day",14786,27107,2271,8259,1419,3722,57564,"April 2015 Week 1",0.817073170731707,0.792422347300396,"KL","control","M",12678
"B10",2015-04-30,"dusk",143,284,154,2448,193,35,3257,"April 2015 Week 1",0.201105311636475,0.141848326680995,"KL","control","M",12678
"B10",2015-04-30,"night",100,102,1779,19833,465,43,22322,"April 2015 Week 1",0.0318071857360452,0.010975719021593,"KL","control","M",12678
"B6",2015-04-24,"dawn",0,0,253,2807,0,0,3060,"April 2015 Week 1",0,0,"SU","control","M",19537
"B6",2015-04-24,"day",14246,19478,3942,15233,1124,1585,55608,"April 2015 Week 1",0.655175514314487,0.634962595310027,"SU","control","M",19537
"B6",2015-04-24,"dusk",44,73,474,2469,0,0,3060,"April 2015 Week 1",0.0382352941176471,0.0382352941176471,"SU","control","M",19537
"B6",2015-04-24,"night",86,219,868,23484,0,15,24672,"April 2015 Week 1",0.012970168612192,0.012970168612192,"SU","control","M",19537
"B6",2015-04-25,"dawn",11,5,237,2693,144,0,3090,"April 2015 Week 1",0.0517799352750809,0.00517799352750809,"SU","control","M",19537
"B6",2015-04-25,"day",16158,21692,3066,11990,958,2072,55936,"April 2015 Week 1",0.7308352402746,0.71370852402746,"SU","control","M",19537
"B6",2015-04-25,"dusk",0,0,121,2969,0,0,3090,"April 2015 Week 1",0,0,"SU","control","M",19537
"B6",2015-04-25,"night",267,274,833,18601,4286,23,24284,"April 2015 Week 1",0.199719980233899,0.0232251688354472,"SU","control","M",19537
"B6",2015-04-26,"dawn",121,703,66,1577,559,95,3121,"April 2015 Week 1",0.473566164690804,0.294456904838193,"SU","control","M",19537
"B6",2015-04-26,"day",15686,20575,3509,13483,668,2343,56264,"April 2015 Week 1",0.697995165647661,0.686122565050476,"SU","control","M",19537
"B6",2015-04-26,"dusk",0,0,297,2824,0,0,3121,"April 2015 Week 1",0,0,"SU","control","M",19537
"B6",2015-04-26,"night",261,303,1329,21455,536,10,23894,"April 2015 Week 1",0.0464551770318909,0.0240227672218967,"SU","control","M",19537
"B6",2015-04-27,"dawn",44,557,914,1553,0,85,3153,"April 2015 Week 1",0.217570567713289,0.217570567713289,"SU","control","M",19537
