Behaviour,Repeatability,LCI,UCI,age,subset,rep_type,n
PC1,0.136828,0.1264498,0.1478799,A,all,non_adjusted,259
PC1,0.113767,0.1007414,0.121589,A,all,adjusted,259
PC2,0.1904241,0.1777404,0.2130731,A,all,non_adjusted,259
PC2,0.1897516,0.1747961,0.2094601,A,all,adjusted,259
PC1,0.1178584,0.09845723,0.135646,Y,all,non_adjusted,119
PC1,0.1138557,0.09952538,0.1381047,Y,all,adjusted,119
PC2,0.06783115,0.05436773,0.07700434,Y,all,non_adjusted,119
PC2,0.06695625,0.05567473,0.08018638,Y,all,adjusted,119
PC1,0.2724757,0.2537105,0.305498,A,random,non_adjusted,177
PC1,0.2831912,0.2592934,0.3124756,A,random,adjusted,177
PC2,0.1229884,0.1040991,0.1409287,A,random,non_adjusted,177
PC2,0.1201204,0.1055663,0.1447904,A,random,adjusted,177
PC1,0.2853129,0.220916,0.3196099,Y,random,non_adjusted,86
PC1,0.2653749,0.2187713,0.3223825,Y,random,adjusted,86
PC2,0.1212475,0.09544939,0.1508833,Y,random,non_adjusted,86
PC2,0.1135096,0.09180485,0.146809,Y,random,adjusted,86
PC1,0.03356945,0.02844267,0.04133965,A,consecutive,non_adjusted,177
PC1,0.03640137,0.03067361,0.04461125,A,consecutive,adjusted,177
PC2,0.06015018,0.04976309,0.07019037,A,consecutive,non_adjusted,177
PC2,0.06265822,0.05088047,0.0736705,A,consecutive,adjusted,177
PC1,0.06390204,0.0488568,0.08407763,Y,consecutive,non_adjusted,86
PC1,0.05630104,0.04488694,0.07698903,Y,consecutive,adjusted,86
PC2,0.02412265,0.01792588,0.03219275,Y,consecutive,non_adjusted,86
PC2,0.02454906,0.01759755,0.03235325,Y,consecutive,adjusted,86
