"","squirrel_id","litter_id","grid","sex","byear","dyear","dateE","dateS","field_bdate","dam_id","sire_id","bcert","longevity","age_first_litter","litter_size","LBS","litters"
"1",24816,9245,"BT","M",2019,NA,NA,NA,NA,23794,NA,"Y",NA,0,NA,0,0
"2",24817,9245,"BT","F",2019,NA,NA,NA,NA,23794,NA,"Y",NA,NA,NA,NA,NA
"3",11994,5070,"JO","F",2011,2016,2016-03-21,NA,NA,10096,NA,"Y",1825,730,2,12,4
"4",11994,5070,"JO","F",2011,2016,2016-03-21,NA,NA,10096,NA,"Y",1825,730,3,12,4
"5",11994,5070,"JO","F",2011,2016,2016-03-21,NA,NA,10096,NA,"Y",1825,730,4,12,4
"6",11994,5070,"JO","F",2011,2016,2016-03-21,NA,NA,10096,NA,"Y",1825,730,3,12,4
"7",12846,5070,"JO","F",2011,2014,2014-08-17,NA,NA,10096,NA,"Y",1095,365,3,10,4
"8",12846,5070,"JO","F",2011,2014,2014-08-17,NA,NA,10096,NA,"Y",1095,365,2,10,4
"9",12846,5070,"JO","F",2011,2014,2014-08-17,NA,NA,10096,NA,"Y",1095,365,2,10,4
"10",12846,5070,"JO","F",2011,2014,2014-08-17,NA,NA,10096,NA,"Y",1095,365,3,10,4
"11",12702,5102,"JO","M",2011,2011,2011-08-15,NA,NA,11607,NA,"Y",0,0,NA,0,0
"12",12847,5102,"JO","F",2011,2011,2011-05-25,NA,NA,11607,NA,"Y",0,NA,NA,NA,NA
"13",928,353,"SU","M",1987,1990,1990-08-23,1987-02-03,1987-02-03,67,NA,"Y",1297,NA,NA,NA,NA
"14",2295,353,"SU","F",1987,1994,1994-07-19,1987-02-03,1987-02-03,67,NA,"Y",2723,1206,3,21,6
"15",2295,353,"SU","F",1987,1994,1994-07-19,1987-02-03,1987-02-03,67,NA,"Y",2723,1206,3,21,6
"16",2295,353,"SU","F",1987,1994,1994-07-19,1987-02-03,1987-02-03,67,NA,"Y",2723,1206,4,21,6
"17",2295,353,"SU","F",1987,1994,1994-07-19,1987-02-03,1987-02-03,67,NA,"Y",2723,1206,4,21,6
"18",2295,353,"SU","F",1987,1994,1994-07-19,1987-02-03,1987-02-03,67,NA,"Y",2723,1206,3,21,6
"19",2295,353,"SU","F",1987,1994,1994-07-19,1987-02-03,1987-02-03,67,NA,"Y",2723,1206,4,21,6
"20",51,351,"KL","F",1987,1987,1987-05-25,1987-02-04,1987-02-04,1890,NA,"Y",110,NA,NA,NA,NA
"21",55,351,"KL","F",1987,1987,1987-05-28,1987-02-04,1987-02-04,1890,NA,"Y",113,NA,NA,NA,NA
"22",203,351,"KL","F",1987,1987,1987-08-03,1987-02-04,1987-02-04,1890,NA,"Y",180,NA,NA,NA,NA
"23",186,326,"FL","M",1987,1987,1987-07-27,1987-02-21,1987-02-21,8837,NA,"Y",156,NA,NA,NA,NA
"24",77,362,"SU","M",1987,1987,1987-06-01,1987-02-28,1987-02-28,688,NA,"Y",93,NA,NA,NA,NA
"25",93,331,"KL","M",1987,1987,1987-06-15,1987-03-06,1987-03-06,158,NA,"Y",101,NA,NA,NA,NA
"26",134,331,"KL","F",1987,1987,1987-06-22,1987-03-06,1987-03-06,158,NA,"Y",108,NA,NA,NA,NA
