"","observer","ageclass","sex","cohort","year","age","grid","trialnumber","trialdate","walk","jump","hole","hang","chew","groom","still","front","back","attack","attacklatency","approachlatency","squirrel_id","OFT1","OFT2"
"1","AKB","A","F",2003,2005,2,"AG",1,2005-05-16,0.13154,0.0311111111111111,0.0153333333333333,0.06538,0.0574,0.0079,0.3519,0.2168,0.0185,0.03,0.0229,0.00156666666666667,7110,-0.595175405797326,-0.0859036542733161
"2","AKB","Y","F",2004,2005,1,"AG",1,2005-05-17,0.11414,0.0266666666666667,0.02,0.10874,0.127,0.023,0.2274,0.1635,0.0319,0.0133333333333333,0.592866666666667,0.0274333333333333,6748,-0.228255206394186,-0.0402977425468641
"3","AKB","A","F",2002,2005,3,"AG",1,2005-05-17,0.0996,0.0244444444444444,0.0266666666666667,0.07126,0.0741,0.0112,0.2327,0.0231,0.0031,0,1,0.075,7545,-0.366343662817125,-0.27211412666951
"4","AKB","A","F",2003,2005,2,"AG",1,2005-05-17,0.0849,0.0222222222222222,0.00444444444444444,0.12362,0.0165,0.0042,0.5236,0.0159,0.1609,0,1,0.172233333333333,7841,-1.38098263370451,0.251631398576652
"5","AKB","A","F",2000,2005,5,"SU",1,2005-05-18,0.37994,0.146666666666667,0.0111111111111111,0.27636,0.0061,0.0365,0.0164,0.4956,0.1623,0.0866666666666667,0.0203333333333333,0.0009,6348,1.60955583560009,0.0802574020327292
"6","AKB","A","F",2002,2005,3,"SU",1,2005-05-18,0.19166,0.0311111111111111,0.0133333333333333,0.1633,0.1253,0.0024,0.1411,0.0294,0.479,0,1,0.525433333333333,7553,0.205536603134379,0.442040622716072
"7","AKB","A","F",2003,2005,2,"AG",1,2005-05-19,0.1148,0.04,0.0421777777777778,0.06822,0,0.0075,0.4464,0.1295,0.5962,0.0233333333333333,0.337333333333333,0.2642,7071,-0.641175770196724,-0.765520692511175
"8","AKB","A","F",2002,2005,3,"KL",1,2005-05-21,0.05306,0.00444444444444444,0.0177777777777778,0.29968,0.0792,0.0312,0.3702,0.5234,0.0733,0.00666666666666667,0.513566666666667,0.001,7827,-1.06173023280493,0.370781362480123
"9","AKB","A","F",2003,2005,2,"KL",1,2005-05-21,0.12668,0.0377777777777778,0.0133333333333333,0.2582,0.032,0.0234,0.2373,0.0216,0.1666,0,1,0.163133333333333,6529,-0.450266929018763,0.295535459464598
"10","AKB","A","F",2001,2005,4,"AG",1,2005-05-22,0.1519,0.0511111111111111,0.00444444444444444,0.34462,0.1537,0.0142,0.0967,0.148,0.5497,0.0566666666666667,0.4398,0.2938,7501,0.294448086047558,1.08313321504993
