Behaviour,Repeatability,LCI,UCI,age,subset,type,n
PC1,0.37,0.34,0.41,A,all,non_adjusted,259
PC1,0.4980908,0.4772937,0.5235391,A,random,non_adjusted,177
PC1,0.1122656,0.09913583,0.1312055,A,consecutive,non_adjusted,177
PC1,0.36,0.33,0.4,A,all,adjusted,259
PC1,0.3928304,0.371268,0.4276417,A,random,adjusted,177
PC1,0.07347227,0.06292059,0.08819441,A,consecutive,adjusted,177
PC1,0.38,0.34,0.41,Y,all,non_adjusted,119
PC1,0.3330568,0.2893175,0.372192,Y,random,non_adjusted,86
PC1,0.08682897,0.06901998,0.1097738,Y,consecutive,non_adjusted,86
PC1,0.36,0.33,0.39,Y,all,adjusted,119
PC1,0.11443,0.08995485,0.1390851,Y,random,adjusted,86
PC1,0.06214541,0.04279258,0.07445723,Y,consecutive,adjusted,86
PC2,0.36,0.33,0.4,A,all,non_adjusted,259
PC2,0.1374972,0.1261229,0.16447,A,random,non_adjusted,177
PC2,0.08961406,0.07650688,0.1037934,A,consecutive,non_adjusted,177
PC2,0.4,0.37,0.44,A,all,adjusted,259
PC2,0.1291727,0.1136079,0.148461,A,random,adjusted,177
PC2,0.0761896,0.0655951,0.09003178,A,consecutive,adjusted,177
PC2,0.37,0.34,0.4,Y,all,non_adjusted,119
PC2,0.2713422,0.2267101,0.320774,Y,random,non_adjusted,86
PC2,0.04632764,0.03231093,0.05540444,Y,consecutive,non_adjusted,86
PC2,0.4,0.37,0.44,Y,all,adjusted,119
PC2,0.1223746,0.1033688,0.1612995,Y,random,adjusted,86
PC2,0.02167695,0.01634999,0.0289714,Y,consecutive,adjusted,86
